dataset,task,db_min_timestamp,db_max_timestamp,status,task_type,entity_table,delta_w_days,delta_i_days,delta_i_over_w,n_episodes,n_splits,first_split,val_timestamp,test_timestamp,rows_total,rows_min,rows_median,rows_max,reason,error
rel-arxiv,author-category,2018-01-01 00:00:00,2023-12-31 00:00:00,ok,multiclass_classification,authors,182.0,365.0,2.0054945054945055,3.0,5.0,2018-01-06 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,222175.0,39015.0,69400.0,113760.0,,
rel-arxiv,author-publication,2018-01-01 00:00:00,2023-12-31 00:00:00,ok,regression,authors,182.0,365.0,2.0054945054945055,3.0,5.0,2018-01-06 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,222175.0,39015.0,69400.0,113760.0,,
rel-arxiv,paper-paper-cocitation,2018-01-01 00:00:00,2023-12-31 00:00:00,skipped,,,,,,,,,,,,,,,recommendation/link-prediction,
rel-ratebeer,beer-churn,2000-04-02 00:00:00,2025-02-03 05:59:42.507000,ok,binary_classification,beers,90.0,487.0,5.411111111111111,12.0,14.0,2000-06-07 00:00:00,2018-09-01 00:00:00,2020-01-01 00:00:00,2546599.0,44924.0,149662.0,507093.0,,
rel-ratebeer,user-churn,2000-04-02 00:00:00,2025-02-03 05:59:42.507000,ok,binary_classification,users,90.0,487.0,5.411111111111111,12.0,14.0,2000-06-07 00:00:00,2018-09-01 00:00:00,2020-01-01 00:00:00,391115.0,5668.0,20082.0,84493.0,,
rel-ratebeer,brewer-dormant,2000-04-02 00:00:00,2025-02-03 05:59:42.507000,ok,binary_classification,brewers,365.0,487.0,1.3342465753424657,9.0,11.0,2000-09-05 00:00:00,2018-09-01 00:00:00,2020-01-01 00:00:00,112885.0,4629.0,9655.0,27894.0,,
rel-ratebeer,user-count,2000-04-02 00:00:00,2025-02-03 05:59:42.507000,ok,regression,users,90.0,487.0,5.411111111111111,12.0,14.0,2000-06-07 00:00:00,2018-09-01 00:00:00,2020-01-01 00:00:00,391115.0,5668.0,20082.0,84493.0,,
rel-ratebeer,user-beer-liked,2000-04-02 00:00:00,2025-02-03 05:59:42.507000,skipped,,,,,,,,,,,,,,,recommendation/link-prediction,
rel-ratebeer,user-place-liked,2000-04-02 00:00:00,2025-02-03 05:59:42.507000,skipped,,,,,,,,,,,,,,,recommendation/link-prediction,
rel-ratebeer,user-beer-favorite,2000-04-02 00:00:00,2025-02-03 05:59:42.507000,skipped,,,,,,,,,,,,,,,recommendation/link-prediction,
rel-ratebeer,beer_ratings-total_score,2000-04-02 00:00:00,2025-02-03 05:59:42.507000,skipped,,,,,,,,,,,,,,,autocomplete,
